question,worker,answer
240616,148,0
240616,46,0
240616,149,0
240616,150,0
240623,114,0
240623,115,0
240623,116,0
240623,117,0
240642,96,0
240642,62,0
240642,151,0
240642,0,0
240644,115,0
240644,116,0
240644,152,0
240644,153,0
240647,90,0
240647,154,0
240647,155,0
240647,156,0
240647,35,0
240715,111,0
240715,59,0
240715,112,0
240715,157,0
240726,90,0
240726,154,0
240726,155,0
240726,156,0
240726,35,0
240756,59,0
240756,131,0
240756,132,0
240756,133,0
240772,90,0
240772,154,0
240772,155,0
240772,156,0
240772,21,0
240793,59,0
240793,158,0
240793,159,0
240793,160,0
240797,114,0
240797,115,0
240797,116,0
240797,92,0
240814,90,0
240814,154,0
240814,155,0
240814,156,0
240814,35,0
240822,59,0
240822,158,0
240822,159,0
240822,103,0
240848,115,0
240848,116,0
240848,153,0
240848,45,0
240852,105,0
240852,22,0
240852,45,0
240852,4,0
240855,60,0
240855,161,1
240855,162,0
240855,163,0
240855,39,0
240855,164,0
240855,165,0
240855,166,0
240855,167,0
240855,168,0
240858,90,0
240858,154,0
240858,155,0
240858,156,0
240858,35,0
240860,169,0
240860,4,0
240860,50,1
240860,170,1
240860,171,0
240860,172,1
240860,173,1
240860,144,0
240860,174,1
240860,175,1
240878,105,1
240878,45,0
240878,101,1
240878,20,1
240878,175,1
240878,176,0
240878,177,0
240878,178,1
240878,179,1
240878,180,0
240878,42,0
240879,105,1
240879,22,1
240879,45,1
240879,4,1
240879,181,1
240879,95,1
240879,182,1
240879,183,0
240879,184,1
240879,185,0
240879,186,1
240891,105,0
240891,22,0
240891,45,0
240891,4,0
240941,187,1
240941,169,1
240941,22,1
240941,50,1
240941,171,1
240941,172,1
240941,173,1
240941,144,1
240941,174,1
240941,175,1
240944,45,1
240944,98,1
240944,185,1
240944,188,0
240944,87,1
240944,172,0
240944,0,1
240944,166,1
240944,189,1
240944,190,0
240947,45,1
240947,46,1
240947,47,1
240947,48,1
240947,49,1
240947,50,1
240947,51,0
240947,19,1
240947,191,1
240947,56,1
240953,169,0
240953,4,0
240953,50,0
240953,170,0
240959,187,0
240959,169,0
240959,50,1
240959,170,0
240959,171,0
240959,172,0
240969,59,0
240969,192,0
240969,132,0
240969,193,0
240972,194,0
240972,93,0
240972,195,0
240972,196,0
240977,60,0
240977,197,0
240977,43,0
240977,198,0
240978,59,1
240978,199,0
240978,200,1
240978,8,1
240978,201,0
240978,202,1
240978,49,0
240978,181,0
240978,203,1
240978,204,1
240978,205,0
240986,72,0
240986,206,0
240986,207,0
240986,160,0
240986,208,0
241011,85,0
241011,86,0
241011,50,0
241011,87,0
241023,185,0
241023,209,0
241023,210,0
241023,211,0
241056,84,0
241056,212,0
241056,213,0
241056,214,0
241114,118,0
241114,85,0
241114,63,0
241114,97,0
241137,35,0
241137,215,1
241137,198,0
241137,56,1
241137,216,0
241137,217,0
241137,218,0
241137,219,0
241137,220,1
241137,72,0
241137,208,1
241138,43,0
241138,0,0
241138,107,0
241138,16,0
241142,138,0
241142,207,0
241142,221,0
241142,135,0
241148,43,0
241148,0,0
241148,107,0
241148,16,0
241166,194,0
241166,222,0
241166,195,0
241166,196,0
241181,59,0
241181,135,0
241181,223,0
241181,121,0
241216,59,0
241216,135,0
241216,223,0
241216,121,0
241222,62,0
241222,22,1
241222,224,0
241222,63,1
241222,225,1
241222,178,0
241222,226,1
241222,165,0
241222,166,0
241222,167,1
241236,43,0
241236,0,0
241236,107,0
241236,16,0
241244,143,0
241244,96,0
241244,227,0
241244,228,0
241254,115,0
241254,116,0
241254,153,0
241254,45,0
241275,229,0
241275,230,0
241275,181,0
241275,231,0
241279,59,1
241279,135,1
241279,223,0
241279,121,0
241279,232,0
241279,233,0
241279,234,0
241279,235,1
241279,236,0
241279,237,1
241312,188,0
241312,170,0
241312,50,0
241312,238,0
241324,229,0
241324,230,0
241324,152,1
241324,181,0
241324,239,0
241324,240,0
241338,241,0
241338,88,0
241338,89,0
241338,242,0
241340,88,0
241340,89,0
241340,90,0
241340,91,0
241340,92,0
241340,35,0
241346,88,1
241346,89,0
241346,90,0
241346,91,1
241346,92,1
241346,35,1
241346,134,1
241346,135,1
241346,243,1
241346,93,1
241346,78,0
241353,241,0
241353,88,0
241353,89,0
241353,242,0
241356,45,0
241356,244,0
241356,245,0
241356,71,0
241364,241,0
241364,88,0
241364,89,0
241364,220,0
241366,241,0
241366,88,0
241366,89,0
241366,242,0
241381,127,0
241381,246,0
241381,247,0
241381,212,0
241381,218,0
241383,60,0
241383,181,0
241383,169,1
241383,97,0
241383,105,0
241383,0,0
241383,138,1
241383,35,0
241383,82,1
241383,64,0
241391,194,0
241391,93,0
241391,245,0
241391,195,0
241392,169,0
241392,118,0
241392,20,0
241392,248,1
241392,142,0
241392,249,0
241682,200,0
241682,108,0
241682,8,0
241682,110,0
241724,60,0
241724,181,0
241724,169,0
241724,97,0
241736,169,0
241736,20,0
241736,181,0
241736,250,0
241740,60,0
241740,161,1
241740,162,0
241740,163,0
241740,251,0
241740,252,1
241740,253,1
241740,140,0
241740,254,1
241740,168,0
241743,169,0
241743,4,0
241743,50,0
241743,170,0
241747,108,0
241747,109,0
241747,228,0
241747,110,0
241749,255,0
241749,103,0
241749,8,0
241749,256,0
241751,35,0
241751,215,0
241751,198,0
241751,56,0
241776,59,0
241776,257,0
241776,258,0
241776,259,0
241780,260,0
241780,261,0
241780,95,0
241780,158,0
241796,262,0
241796,263,0
241796,264,0
241796,171,0
241807,260,1
241807,261,1
241807,95,1
241807,158,1
241807,265,0
241807,252,1
241807,266,1
241807,235,1
241807,69,1
241807,98,1
241808,262,0
241808,263,0
241808,264,0
241808,171,0
241813,59,0
241813,257,0
241813,258,0
241813,259,0
241816,43,0
241816,0,0
241816,107,0
241816,16,0
241822,59,0
241822,257,0
241822,258,0
241822,259,0
241835,105,0
241835,106,0
241835,267,0
241835,12,0
241835,50,0
241835,54,0
241864,84,0
241864,151,0
241864,268,0
241864,269,0
241867,270,0
241867,271,0
241867,40,0
241867,272,0
241868,255,0
241868,261,0
241868,95,0
241868,273,0
241883,59,0
241883,257,0
241883,258,0
241883,158,0
241884,260,0
241884,261,0
241884,95,0
241884,273,0
241888,274,0
241888,123,0
241888,94,0
241888,109,0
241889,269,0
241889,275,0
241889,276,0
241889,277,0
241897,105,0
241897,106,0
241897,267,0
241897,12,0
241898,270,0
241898,271,0
241898,278,0
241898,40,0
241898,279,0
241903,104,0
241903,188,0
241903,280,0
241903,281,0
241915,262,0
241915,263,0
241915,264,0
241915,171,0
241935,282,0
241935,214,0
241935,283,0
241935,233,0
241945,269,0
241945,275,0
241945,276,0
241945,67,0
241955,129,0
241955,284,0
241955,285,0
241955,286,0
241955,287,0
241955,288,0
241955,289,0
241955,6,0
241955,290,0
241955,291,0
241955,292,0
241955,252,0
241955,293,0
241955,294,0
241955,295,0
241955,296,0
241955,297,0
241955,298,0
241955,299,0
241955,197,0
241955,300,0
241955,301,0
241955,302,0
241955,265,0
241955,117,0
241955,303,0
241955,304,0
241955,305,0
241955,306,0
241955,307,0
241955,62,0
241955,308,0
241955,309,0
241955,310,0
241955,311,0
241955,312,0
241955,60,0
241955,313,0
241955,218,0
241955,314,0
241955,112,0
241955,237,0
241955,315,0
241955,316,0
241955,317,0
241955,318,0
241955,250,0
241955,161,0
241955,319,0
241955,320,0
241955,321,0
241955,322,0
241955,323,0
241955,324,0
241955,325,0
241955,326,0
241955,327,0
241955,328,0
241955,127,0
241955,130,0
241955,329,0
241955,330,0
241955,121,0
241955,331,0
241955,151,0
241955,55,0
241955,332,0
241955,132,0
241955,115,0
241955,333,0
241955,162,0
241955,334,0
241955,335,0
241955,336,0
241955,337,0
241955,338,0
241955,339,0
241955,340,0
241955,341,0
241955,342,0
241955,178,0
241955,343,0
241955,63,0
241955,344,0
241955,345,0
241955,346,0
241955,347,0
241955,348,0
241955,349,0
241955,350,0
241955,351,0
241955,352,0
241955,61,0
241955,268,0
241955,49,0
241955,269,0
241955,111,0
241955,228,0
241955,186,0
241955,353,0
241955,74,0
241955,220,0
241955,354,0
241955,355,0
241955,356,0
241955,357,0
241955,358,0
241955,359,0
241955,360,0
241955,188,0
241955,361,0
241955,362,0
241955,363,0
241955,172,0
241955,364,0
241955,365,0
241955,366,0
241955,367,0
241955,368,0
241955,369,0
241955,175,0
241955,370,0
241955,371,0
241955,372,0
241955,139,0
241955,373,0
241955,374,0
241955,375,1
241955,91,0
241955,72,0
241955,376,0
241955,155,0
241955,377,0
241955,181,0
241955,378,0
241955,379,0
241955,380,0
241955,381,0
241955,382,0
241955,383,0
241955,384,0
241955,56,0
241955,385,0
241955,386,0
241955,387,0
241955,388,0
241955,389,0
241955,390,0
241955,391,0
241955,227,0
241955,392,0
241955,393,0
241955,394,0
241955,395,0
241955,230,0
241955,396,0
241955,397,0
241955,146,0
241955,398,0
241955,399,0
241955,400,0
241955,401,0
241955,402,0
241955,403,0
241955,35,0
241955,255,0
241955,142,0
241955,404,0
241955,405,0
241955,279,0
241955,406,0
241955,78,0
241955,407,0
241955,408,0
241955,409,0
241955,410,0
241955,226,0
241955,411,0
241955,412,0
241955,413,0
241955,414,0
241955,126,0
241955,415,0
241955,256,0
241955,416,0
241955,417,0
241955,418,0
241955,198,0
241955,160,0
241955,419,0
241955,420,0
241955,219,0
241955,421,0
241955,422,0
241955,423,0
241955,424,0
241955,425,0
241955,426,0
241955,427,0
241955,428,0
241955,262,0
241955,429,0
241955,59,0
241955,430,0
241955,431,0
241955,432,0
241955,154,0
241955,266,0
241955,433,0
241955,434,0
241955,144,0
241955,435,0
241955,204,0
241955,436,0
241955,244,0
241955,437,0
241955,103,0
241955,229,0
241955,158,0
241955,438,0
241955,439,0
241955,440,0
241955,441,0
241955,442,0
241955,443,0
241955,444,0
241955,194,0
241955,445,0
241955,270,0
241955,36,0
241955,232,0
241955,446,0
241955,447,0
241955,448,0
241955,449,0
241955,0,0
241955,450,0
241955,451,0
241955,452,0
241955,245,0
241955,453,0
241955,454,0
241955,137,0
241955,222,0
241955,455,0
241955,456,0
241955,457,0
241955,458,0
241955,459,0
241955,460,0
241955,461,0
241955,462,0
241955,463,0
241955,243,0
241955,464,0
241955,465,1
241955,466,0
241955,467,0
241955,468,0
241955,213,0
241955,46,0
241955,469,0
241955,470,0
241955,471,0
241955,472,0
241955,473,0
241955,233,0
241955,474,0
241955,191,0
241955,475,0
241955,476,0
241955,264,0
241955,477,0
241955,478,0
241955,479,0
241955,480,0
241955,481,0
241955,482,0
241955,483,0
241955,484,0
241955,64,0
241955,485,0
241955,486,0
241955,487,0
241955,488,0
241955,489,0
241955,490,0
241955,491,0
241955,492,0
241955,493,0
241955,494,0
241955,495,0
241955,496,0
241955,212,0
241955,497,0
241955,498,0
241955,499,0
241955,500,0
241955,501,0
241955,502,0
241955,5,0
241955,503,0
241955,504,0
241955,505,0
241955,207,0
241955,506,0
241955,507,0
241955,508,0
241955,509,0
241955,510,0
241955,76,0
241955,511,0
241955,512,0
241955,513,0
241955,514,0
241955,515,0
241955,47,0
241955,516,0
241955,517,0
241955,518,0
241955,519,0
241955,520,0
241955,52,0
241955,258,0
241955,521,0
241955,522,0
241955,523,0
241955,524,0
241955,525,0
241955,95,0
241955,526,0
241955,527,0
241955,242,0
241955,149,0
241955,528,0
241955,529,0
241955,530,0
241955,531,0
241955,532,0
241955,533,0
241955,27,0
241955,534,0
241955,535,0
241955,536,0
241955,537,0
241955,271,0
241955,538,0
241955,539,0
241955,33,0
241955,540,0
241955,541,0
241955,542,0
241955,543,0
241955,253,0
241955,544,0
241955,545,0
241955,546,0
241955,547,0
241955,548,0
241955,549,0
241955,550,0
241955,551,0
241955,552,0
241955,553,0
241955,554,0
241955,555,0
241955,556,0
241955,557,0
241955,558,0
241955,559,0
241955,560,0
241955,211,0
241955,561,0
241955,562,0
241955,563,0
241955,564,0
241955,565,0
241955,566,0
241955,567,0
241955,568,0
241955,569,0
241955,570,0
241955,571,0
241955,572,0
241955,21,0
241955,573,0
241955,84,0
241955,574,0
241955,192,0
241955,575,0
241955,576,0
241955,577,0
241955,578,0
241955,579,0
241955,580,0
241955,581,0
241955,582,0
241955,583,0
241955,584,0
241955,585,0
241955,586,0
241955,587,0
241955,588,0
241955,210,0
241955,589,0
241955,138,0
241955,590,0
241955,591,0
241955,239,0
241955,185,0
241955,592,0
241955,593,0
241955,594,0
241955,595,0
241955,596,0
241955,597,0
241955,598,0
241955,599,0
241955,600,0
241955,601,0
241955,602,0
241955,278,0
241955,603,0
241955,604,0
241955,605,0
241955,606,0
241955,607,0
241955,608,0
241955,609,0
241955,610,0
241955,611,0
241955,612,0
241955,613,0
241955,614,0
241955,615,0
241955,37,0
241955,616,0
241955,617,0
241955,618,0
241955,619,0
241955,620,0
241955,621,0
241955,622,0
241955,623,0
241955,16,0
241955,624,0
241955,625,0
241955,626,0
241955,627,0
241955,628,0
241955,629,0
241955,630,0
241955,116,0
241955,631,0
241955,249,0
241955,632,0
241955,633,0
241955,634,0
241955,635,0
241955,134,0
241955,636,0
241955,637,0
241955,638,0
241955,639,0
241955,640,0
241955,641,0
241955,206,0
241955,642,0
241955,15,0
241955,643,0
241955,644,0
241955,645,0
241955,646,0
241955,225,0
241955,647,0
241955,648,0
241955,649,0
241955,650,0
241955,651,0
241955,652,0
241955,653,0
241955,654,0
241955,655,0
241955,656,0
241955,657,0
241955,658,0
241955,110,0
241955,659,0
241955,660,0
241955,263,0
241955,661,0
241955,662,0
241955,75,0
241955,39,0
241955,663,0
241955,664,0
241955,665,0
241955,666,0
241955,667,0
241955,668,0
241955,669,0
241955,670,0
241955,282,0
241955,671,0
241955,672,0
241955,673,0
241955,124,0
241955,674,0
241955,675,0
241955,676,0
241955,119,0
241955,114,0
241955,677,0
241955,678,0
241955,679,0
241955,680,0
241955,187,0
241955,681,0
241955,682,0
241955,683,0
241955,684,0
241955,685,0
241955,686,0
241955,208,0
241955,687,0
241955,280,0
241955,688,0
241955,689,0
241955,690,0
241955,691,0
241955,692,0
241955,693,0
241955,694,0
241955,67,0
241955,45,0
241955,695,0
241955,696,0
241955,201,0
241955,697,0
241955,698,0
241955,699,0
241955,700,0
241955,701,0
241955,702,0
241955,703,0
241955,704,0
241955,705,0
241955,706,0
241955,707,0
241955,708,0
241955,709,0
241955,710,0
241955,711,0
241955,712,0
241955,29,0
241955,216,0
241955,713,0
241955,714,0
241955,715,0
241955,104,0
241955,174,0
241955,716,0
241955,717,0
241955,71,0
241955,718,0
241955,719,0
241955,89,0
241955,720,0
241955,721,0
241955,281,0
241955,722,0
241955,723,0
241955,724,0
241955,725,0
241955,726,0
241955,179,0
241955,727,0
241955,728,0
241955,729,0
241955,99,0
241955,730,0
241955,731,0
241955,732,0
241955,733,0
241955,734,0
241955,221,0
241955,143,0
241955,259,0
241955,735,0
241955,736,0
241955,737,0
241955,738,0
241955,739,0
241955,740,0
241955,741,0
241955,742,0
241955,743,0
241955,744,0
241955,745,0
241955,746,0
241955,141,0
241955,747,0
241955,748,0
241955,749,0
241955,750,0
241955,751,0
241955,195,0
241955,159,0
241955,752,0
241955,164,0
241955,753,0
241955,754,0
241955,755,0
241955,756,0
241955,757,0
241955,758,0
241955,759,0
241955,760,0
241955,761,0
241955,762,0
241955,763,0
241955,223,0
241955,764,0
241955,765,0
241955,766,0
241955,767,0
241955,768,0
241955,769,0
241955,770,0
241955,771,0
241955,772,0
241955,80,0
241955,773,0
241955,774,0
241955,775,0
241955,77,0
241955,776,0
241955,777,0
241955,778,0
241955,779,0
241955,780,0
241955,781,0
241955,782,0
241955,783,0
241955,784,0
241955,785,0
241955,786,0
241955,98,0
241955,787,0
241955,788,0
241955,789,0
241955,166,0
241955,790,0
241955,791,0
241955,2,0
241955,792,0
241955,793,0
241955,794,0
241955,86,0
241955,795,0
241955,796,0
241955,797,0
241955,798,0
241955,43,0
241955,799,0
241955,800,0
241955,801,0
241955,182,0
241955,133,0
241955,802,0
241955,131,0
241955,803,0
241955,804,0
241955,805,0
241955,806,0
241955,807,0
241955,808,0
241955,809,0
241955,810,0
241955,811,0
241955,812,0
241955,813,0
241955,814,0
241955,815,0
241955,816,0
241955,817,0
241955,818,0
241955,196,0
241955,26,0
241955,819,0
241955,820,0
241955,821,0
241955,822,0
241955,823,0
241955,824,0
241955,825,0
241955,826,0
241955,827,0
241955,828,0
241955,829,0
241955,830,0
241955,831,0
241955,832,0
241955,833,0
241955,834,0
241955,835,0
241955,836,0
241955,837,0
241955,838,0
241955,169,0
241955,839,0
241955,840,0
241955,841,0
241955,842,0
241955,843,0
241955,57,0
241955,844,0
241955,845,0
241955,846,0
241955,847,0
241955,848,0
241955,849,0
241955,850,0
241955,851,0
241955,58,0
241955,852,0
241955,92,0
241955,853,0
241955,854,0
241955,855,0
241955,856,0
241955,857,0
241955,858,0
241955,859,0
241955,860,0
241955,861,0
241955,862,0
241955,863,0
241955,864,0
241955,865,0
241955,866,0
241955,867,0
241955,868,0
241955,869,0
241955,870,0
241955,871,0
241955,872,0
241955,102,0
241955,873,0
241955,874,0
241955,875,0
241955,876,0
241955,877,0
241955,878,0
241955,879,0
241955,880,0
241955,881,0
241955,882,0
241955,883,0
241955,884,0
241955,885,0
241955,886,0
241955,887,0
241955,888,0
241955,889,0
241955,890,0
241955,105,0
241955,891,0
241955,123,0
241955,892,0
241955,893,0
241955,894,0
241955,895,0
241955,896,0
241955,897,0
241955,898,0
241955,899,0
241955,900,0
241955,901,0
241955,902,0
241955,903,0
241955,904,0
241955,905,0
241955,28,0
241955,906,0
241955,907,0
241955,128,0
241955,908,0
241955,909,0
241955,910,0
241955,911,0
241955,912,0
241955,913,0
241955,14,0
241955,914,0
241955,915,0
241955,193,0
241955,916,0
241955,917,0
241955,918,0
241955,919,0
241955,920,0
241955,921,0
241955,922,0
241955,923,0
241955,924,0
241955,925,0
241955,926,0
241955,927,0
241955,928,0
241955,929,0
241955,148,0
241955,930,0
241955,931,0
241955,932,0
241955,933,0
241955,934,0
241955,190,0
241955,935,0
241955,936,0
241955,937,0
241955,938,0
241955,93,0
241955,939,0
241955,940,0
241955,941,0
241955,942,0
241955,943,0
241955,944,0
241955,945,0
241955,946,0
241955,947,0
241955,948,0
241955,949,0
241955,8,0
241955,94,0
241955,950,0
241955,951,0
241955,952,0
241955,953,0
241955,954,0
241955,955,0
241955,956,0
241955,957,0
241955,958,0
241955,959,0
241955,960,0
241955,961,0
241955,962,0
241955,963,0
241955,87,0
241955,964,0
241955,965,0
241955,966,0
241955,967,0
241955,968,0
241955,969,0
241955,970,0
241955,971,0
241955,972,0
241955,973,0
241955,974,0
241955,975,0
241955,976,0
241955,977,0
241955,978,0
241955,979,0
241955,980,0
241955,981,0
241955,982,0
241955,983,0
241955,984,0
241955,985,0
241955,986,0
241955,987,0
241955,988,0
241955,989,0
241955,79,0
241955,990,0
241955,991,0
241955,992,0
241955,993,0
241955,994,0
241955,995,0
241955,996,0
241955,997,0
241955,998,0
241955,999,0
241955,1000,0
241955,1001,0
241955,1002,0
241955,1003,0
241955,1004,0
241955,1005,0
241955,1006,0
241955,1007,0
241955,1008,0
241955,1009,0
241955,1010,0
241955,1011,0
241955,1012,0
241955,1013,0
241955,1014,0
241955,1015,0
241955,1016,0
241955,1017,0
241955,1018,0
241955,1019,0
241955,1020,0
241955,1021,0
241955,1022,0
241955,1023,0
241955,1024,0
241955,1025,0
241955,1026,0
241955,1027,0
241955,1028,0
241955,1029,0
241955,1030,0
241955,1031,0
241955,177,0
241955,1032,0
241955,1033,0
241955,10,0
241955,1034,0
241955,1035,0
241955,1036,0
241955,19,0
241955,1037,0
241955,1038,0
241955,1039,0
241955,1040,0
241955,1041,0
241955,1042,0
241955,1043,0
241955,1044,0
241955,1045,0
241955,1046,0
241955,1047,0
241955,1048,0
241955,1049,0
241955,1050,0
241955,1051,0
241955,1052,0
241955,1053,0
241955,1054,0
241955,1055,0
241955,1056,0
241955,1057,0
241955,1058,0
241955,1059,0
241955,1060,0
241955,1061,0
241955,1062,0
241955,1063,0
241955,1064,0
241955,66,0
241955,1065,0
241955,1066,0
241955,1067,0
241955,200,0
241955,1068,0
241955,1069,0
241955,1070,0
241955,1071,0
241955,1072,0
241955,1073,0
241955,1074,0
241955,1075,0
241955,1076,0
241955,1077,0
241955,1078,0
241955,1079,0
241955,1080,0
241955,1081,0
241955,214,0
241955,1082,0
241955,1083,0
241955,1084,0
241955,1085,0
241955,1086,0
241955,1087,0
241955,1088,0
241955,1089,0
241955,1090,0
241955,1091,0
241955,1092,0
241955,1093,0
241955,1094,0
241955,1095,0
241955,1096,0
241955,1097,0
241955,1098,0
241955,1099,0
241955,1100,0
241955,1101,0
241955,1102,0
241955,1103,0
241955,9,0
241955,1104,0
241955,1105,0
241955,1106,0
241955,1107,0
241955,1108,0
241955,1109,0
241955,1110,0
241955,1111,0
241955,1112,0
241955,1113,0
241955,1114,0
241955,1115,0
241955,1116,0
241955,1117,0
241955,1118,0
241955,1119,0
241955,1120,0
241955,1121,0
241955,1122,0
241955,1123,0
241955,1124,0
241955,1125,0
241955,1126,0
241955,1127,0
241955,1128,0
241955,1129,0
241955,1130,0
241955,1131,0
241955,1132,0
241955,1133,0
241955,1134,0
241955,1135,0
241955,1136,0
241955,1137,0
241955,1138,0
241955,1139,0
241955,1140,0
241955,1141,0
241955,1142,0
241955,1143,0
241955,7,0
241955,1144,0
241955,1145,0
241955,1146,0
241955,1147,0
241955,1148,0
241955,1149,0
241955,1150,0
241955,1151,0
241955,1152,0
241955,1153,0
241955,1154,0
241955,1155,0
241955,1156,0
241955,1157,0
241955,1158,0
241955,1159,0
241955,1160,0
241955,1161,0
241955,1162,0
241955,1163,0
241955,1164,0
241955,1165,0
241955,1166,0
241955,1167,0
241955,1168,0
241955,1169,0
241955,1170,0
241955,1171,0
241955,1172,0
241955,1173,0
241955,1174,0
241955,1175,0
241955,1176,0
241955,1177,0
241955,1178,0
241955,1179,0
241955,1180,0
241955,1181,0
241955,1182,0
241955,1183,0
241955,1184,0
241955,1185,0
241955,1186,0
241955,1187,0
241955,1188,0
241955,1189,0
241955,1190,0
241955,69,0
241955,1191,0
241955,1192,0
241955,1193,0
241955,1194,0
241955,1195,0
241955,1196,0
241955,1197,0
241955,1198,0
241955,209,0
241955,1199,0
241955,1200,0
241955,1201,0
241955,1202,0
241955,1203,0
241955,1204,0
241955,1205,0
241955,1206,0
241955,1207,0
241955,1208,0
241955,1209,0
241955,1210,0
241955,1211,0
241955,1212,0
241955,1213,0
241955,1214,0
241955,1215,0
241955,1216,0
241955,1217,0
241955,1218,0
241955,1219,0
241955,1220,0
241955,1221,0
241955,1222,0
241955,1223,0
241955,1224,0
241955,1225,0
241983,269,0
241983,275,0
241983,276,0
241983,277,0
242268,269,0
242268,278,0
242268,40,0
242268,275,0
242268,146,0
242268,1226,0
242268,276,0
242296,414,0
242296,779,0
242296,1227,0
242296,920,0
242303,226,0
242303,1228,0
242303,395,0
242303,423,0
242311,123,0
242311,395,0
242311,1229,0
242311,1006,0
242313,226,0
242313,1228,0
242313,395,0
242313,515,0
242331,270,0
242331,271,0
242331,40,0
242331,272,0
242337,78,0
242337,1230,0
242337,783,0
242337,837,0
242351,260,0
242351,261,0
242351,95,0
242351,158,0
242368,90,0
242368,56,0
242368,355,0
242368,821,0
242368,63,0
242392,78,0
242392,1230,0
242392,783,0
242392,837,0
242400,146,0
242400,282,1
242400,214,1
242400,233,0
242400,621,0
242400,144,0
242400,395,0
242400,531,0
242400,1231,0
